tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun,,,
2020-04-20,TIDUNG/PAYUNG,3,3,2,6,8,,
2020-04-21,TIDUNG/PAYUNG,2,2,9,7,16,,
2020-04-22,TIDUNG/PAYUNG,1,1,3,1,4,,
2020-04-23,TIDUNG/PAYUNG,1,1,0,9,9,,
2020-04-24,TIDUNG/PAYUNG,1,1,0,0,0,,
2020-04-25,TIDUNG/PAYUNG,1,1,0,1,1,,
2020-04-26,TIDUNG/PAYUNG,1,1,3,2,5,,
2020-04-27,TIDUNG/PAYUNG,1,1,0,1,1,,
2020-04-28,TIDUNG/PAYUNG,1,1,0,0,0,,
2020-04-29,TIDUNG/PAYUNG,1,1,0,3,3,,
2020-04-30,TIDUNG/PAYUNG,1,1,3,0,3,,
2020-04-01,PRAMUKA/PANGGANG,3,4,17,22,39,,
2020-04-02,PRAMUKA/PANGGANG,4,1,15,0,15,,
2020-04-03,PRAMUKA/PANGGANG,1,1,3,0,3,,
2020-04-04,PRAMUKA/PANGGANG,0,1,0,11,11,,
2020-04-05,PRAMUKA/PANGGANG,1,0,17,0,17,,
2020-04-06,PRAMUKA/PANGGANG,2,3,12,15,27,,
2020-04-07,PRAMUKA/PANGGANG,2,2,7,3,10,,
2020-04-08,PRAMUKA/PANGGANG,1,0,5,0,5,,
2020-04-09,PRAMUKA/PANGGANG,2,2,19,3,22,,
2020-04-10,PRAMUKA/PANGGANG,2,1,9,0,9,,
2020-04-11,PRAMUKA/PANGGANG,1,2,0,1,1,,
2020-04-12,PRAMUKA/PANGGANG,0,1,0,11,11,,
2020-04-13,PRAMUKA/PANGGANG,4,4,18,29,47,,
2020-04-14,PRAMUKA/PANGGANG,0,0,1,6,7,,
2020-04-15,PRAMUKA/PANGGANG,1,1,8,0,8,,
2020-04-16,PRAMUKA/PANGGANG,1,2,0,2,2,,
2020-04-17,PRAMUKA/PANGGANG,1,1,2,0,2,,
2020-04-18,PRAMUKA/PANGGANG,0,1,0,10,10,,
2020-04-19,PRAMUKA/PANGGANG,1,0,24,0,24,,
2020-04-20,PRAMUKA/PANGGANG,2,4,11,17,28,,
2020-04-21,PRAMUKA/PANGGANG,4,4,12,9,21,,
